Artifact ID	Dataset	Purpose	Expected filename	Format	Approximate size	Required for	Generated or external	Shareability status	SHA-256	Availability	Regeneration command	Notes
pair_train_noq_features	Canonical no-quality feature training split	PAIR_train_noq.tsv	data/processed/PAIR_train_noq.tsv	TSV	4.5 MB	classical model training	generated	Tracked retained publication dataset	628d7a2fc5068cba3654a79c8748bde36198c8e9bddb788b2e2a6a605fd4fb5b	TRACKED	python3 -m mitochime.make_noq_datasets_pair	Canonical classical-model training split.
pair_test_noq_features	Canonical no-quality feature test split	PAIR_test_noq.tsv	data/processed/PAIR_test_noq.tsv	TSV	1.1 MB	classical model evaluation	generated	Tracked retained publication dataset	9f1e0a60e6d56d615bafd9c5a1d7721729380a6f6e55250ba5a3ec3f229820e2	TRACKED	python3 -m mitochime.make_noq_datasets_pair	Canonical classical-model test split.
pair_train_seq_L150	Canonical sequence training split	PAIR_train_seq_L150.tsv	data/processed/PAIR_train_seq_L150.tsv	TSV	6.4 MB	deep model training	generated	Tracked retained publication dataset	5b640f259a79f62cc6a8a3c3fb752bfe1275c620818d88d2644dc5c12ab91c12	TRACKED	python3 -m mitochime.deep_learning.make_seq_tsv ...	Canonical deep-learning training split.
pair_test_seq_L150	Canonical sequence test split	PAIR_test_seq_L150.tsv	data/processed/PAIR_test_seq_L150.tsv	TSV	1.6 MB	deep model evaluation	generated	Tracked retained publication dataset	6f471a5c2da54745fa166596ea6b3509be0d4910d88777c08268faa78ae09b67	TRACKED	python3 -m mitochime.deep_learning.make_seq_tsv ...	Canonical deep-learning test split.
pair_train_seq_cv_folds	Cross-validation sequence folds	fold*_train_seq.tsv / fold*_val_seq.tsv	data/processed/cv_seq_L150_seed42/	TSV collection	~32.1 MB total	deep cross-validation review	generated	Tracked retained publication-support data		TRACKED	python3 -m mitochime.deep_learning.make_folds ...	Tracked collection of sequence cross-validation folds.
clean_simulated_fastq_pairs	Simulated clean read pairs	ref1.fastq / ref2.fastq	data/raw/simulation_outputs/	FASTQ pair	not tracked	full simulation reruns	generated	Safe to release only after researcher policy review		REGENERABLE	python3 scripts/data_prep/simulation.py	Canonical clean simulated FASTQ pair names from the original workflow are not tracked in this repository.
chimeric_simulated_fastq_pairs	Simulated chimeric read pairs	chime1.fastq / chime2.fastq	data/raw/simulation_outputs/	FASTQ pair	not tracked	full simulation reruns	generated	Safe to release only after researcher policy review		REGENERABLE	python3 scripts/data_prep/simulation.py	Canonical chimeric simulated FASTQ pair names from the original workflow are not tracked in this repository.
example_fastq_pairs	Synthetic smoke-test read pairs	example_pairs_R1.fastq / example_pairs_R2.fastq	data/example/	FASTQ pair	65 B + 65 B	quick-start smoke test	generated	Safe to redistribute as synthetic smoke-test data		TRACKED		Tiny synthetic example pair retained for lightweight validation only.
external_test_fastq_grid	External-test FASTQ grid	10K_final_* / 20K_final_* / 3200_final_*	data/external_test/	FASTQ.GZ collection	not tracked	final assembly evaluation script	external	Researcher release policy unresolved; do not invent a public source		REVIEW_NEEDED		Required by scripts/evaluation/run_final_all_t0p5.sh but absent from tracked clones.
final_run_spades_outputs	Final assembly outputs used by publication comparisons	contigs.fasta plus graph/log files	data/assemblies_spades/final_run/	SPAdes output collection	not tracked	publication assembly comparisons	generated	High-value provenance, but public hosting strategy is still unresolved		REVIEW_NEEDED	bash scripts/evaluation/run_final_all_t0p5.sh	Not present in the tracked clone; publication tables were retained separately under results/tables/.
