read_id	read_length	mean_base_quality	ref_name	ref_start_1based	strand	mapq	cigar	has_sa	sa_count	num_segments	sa_diff_contig	sa_min_delta_pos	sa_max_delta_pos	sa_mean_delta_pos	sa_same_strand_count	sa_opp_strand_count	sa_max_mapq	sa_mean_mapq	sa_min_nm	sa_mean_nm	softclip_left	softclip_right	total_clipped_bases	breakpoint_read_pos	kmer_cosine_diff	kmer_js_divergence	microhomology_length	microhomology_gc	label
NC_039553.1_8765_9330_6:0:0_6:0:0_1964	150	13.0	NC_039553.1	8765	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_42401_42913_0:0:0_0:0:0_1363	150	40.0	NC_039553.1	2341	+	60	19S131M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	19	0	19	75	0.972211	0.971429	1	1.0	1
NC_039553.1_9874_10336_10:0:0_10:0:0_58f	150	13.0	NC_039553.1	9874	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.959459	0.957143	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_252652_253136_0:0:0_0:0:0_1db6	150	40.0	NC_039553.1	9551	+	60	33S117M	1	1	2	0	1852	1852	1852.0	1	0	1	1.0	0	0.0	33	0	33	75	1.0	1.0	1	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_335025_335604_0:0:0_0:0:0_1aab	150	40.0	NC_039553.1	4439	+	60	39S111M	1	1	2	0	5297	5297	5297.0	1	0	11	11.0	0	0.0	39	0	39	75	0.944423	0.942857	0	0.0	1
NC_039553.1_651_1164_6:0:0_7:0:0_156a	150	13.0	NC_039553.1	1015	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.972211	0.971429	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_229980_230490_0:0:0_0:0:0_7a4	150	40.0	NC_039553.1	7429	+	60	55S95M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	55	0	55	75	0.985914	0.985714	1	0.0	1
NC_039553.1_308_824_7:0:0_11:0:0_18f6	150	13.0	NC_039553.1	308	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.9589	0.957143	1	0.0	0
NC_039553.1_6105_6534_7:0:0_8:0:0_458	150	13.0	NC_039553.1	6105	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.959445	0.966037	1	0.0	0
NC_039553.1_13402_13824_6:0:0_5:0:0_e86	150	13.0	NC_039553.1	13675	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	1	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_336126_336550_0:0:0_0:0:0_25b8	150	40.0	NC_039553.1	1731	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.98629	0.985714	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_177064_177579_0:0:0_0:0:0_1e13	150	40.0	NC_039553.1	10761	-	60	138M12S	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	12	12	75	0.985714	0.985714	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_171385_171875_0:0:0_0:0:0_a2f	150	40.0	NC_039553.1	10385	-	60	31S119M	1	1	2	0	4490	4490	4490.0	1	0	5	5.0	0	0.0	31	0	31	75	0.986482	0.985714	1	1.0	1
NC_039553.1_11740_12280_9:0:0_6:0:0_167d	150	13.0	NC_039553.1	11740	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.957742	0.957143	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_78045_78586_0:0:0_0:0:0_2358	150	40.0	NC_039553.1	13264	-	60	131M19S	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	19	19	75	1.0	1.0	0	0.0	1
NC_039553.1_12326_12807_7:0:0_10:0:0_1e59	150	13.0	NC_039553.1	12658	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.985914	0.985714	1	1.0	0
chimera_1_A9831-10051_B14983-15061_MH0_193981_194467_0:0:0_0:0:0_1159	150	40.0	NC_039553.1	5990	+	58	44M106S	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	106	106	75	1.0	1.0	1	1.0	1
chimera_1_A9831-10051_B14983-15061_MH0_186153_186694_0:0:0_0:0:0_24c9	150	40.0	NC_039553.1	12655	-	60	147M3S	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	3	3	75	0.897301	0.923179	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_199421_199864_0:0:0_0:0:0_11c4	150	40.0	NC_039553.1	8522	-	60	33S117M	1	1	2	0	1530	1530	1530.0	1	0	10	10.0	0	0.0	33	0	33	75	0.971828	0.971429	0	0.0	1
NC_039553.1_12973_13458_6:0:0_8:0:0_1c9	150	13.0	NC_039553.1	13309	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.986106	0.985714	0	0.0	0
NC_039553.1_14546_14977_10:0:0_10:0:0_1933	150	13.0	NC_039553.1	14828	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.97258	0.971429	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_296061_296548_0:0:0_0:0:0_234e	150	40.0	NC_039553.1	16235	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	1
NC_039553.1_15906_16328_9:0:0_3:0:0_2352	150	13.0	NC_039553.1	16179	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.942857	0.942857	2	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_99601_100070_0:0:0_0:0:0_1b5	150	40.0	NC_039553.1	11153	-	60	39S111M	1	1	2	0	5896	5896	5896.0	1	0	14	14.0	0	0.0	39	0	39	75	0.986467	0.985714	0	0.0	1
NC_039553.1_9490_10037_5:0:0_6:0:0_95e	150	13.0	NC_039553.1	9888	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.986486	0.985714	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_78127_78562_0:0:0_0:0:0_cf7	150	40.0	NC_039553.1	1773	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	1
NC_039553.1_9388_9908_5:0:0_9:0:0_23d5	150	13.0	NC_039553.1	9388	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.986111	0.985714	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_112753_113209_0:0:0_0:0:0_18fc	150	40.0	NC_039553.1	6324	+	60	22S128M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	22	0	22	75	0.971828	0.971429	0	0.0	1
NC_039553.1_5068_5658_7:0:0_5:0:0_c42	150	13.0	NC_039553.1	5068	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.9315	0.928571	2	0.5	0
chimera_1_A9831-10051_B14983-15061_MH0_10138_10616_0:0:0_0:0:0_13f8	150	40.0	NC_039553.1	3017	-	60	99M51S	1	1	2	0	4261	4261	4261.0	1	0	35	35.0	0	0.0	0	51	51	75	1.0	1.0	0	0.0	1
NC_039553.1_3951_4438_7:0:0_11:0:0_7c8	150	13.0	NC_039553.1	3951	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	1	1.0	0
chimera_1_A9831-10051_B14983-15061_MH0_214551_215044_0:0:0_0:0:0_1049	150	40.0	NC_039553.1	14682	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.957742	0.957143	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_208864_209305_0:0:0_0:0:0_c0b	150	40.0	NC_039553.1	13613	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	1
NC_039553.1_15324_15830_8:0:0_7:0:0_d	150	13.0	NC_039553.1	15324	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.9863	0.985714	0	0.0	0
NC_039553.1_6497_7059_4:0:0_7:0:0_1aaa	150	13.0	NC_039553.1	6910	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.957742	0.957143	3	1.0	0
chimera_1_A9831-10051_B14983-15061_MH0_287547_288005_0:0:0_0:0:0_1d06	150	40.0	NC_039553.1	15525	+	60	44S106M	1	1	2	0	2667	2667	2667.0	1	0	32	32.0	0	0.0	44	0	44	75	0.957143	0.957143	1	1.0	1
chimera_1_A9831-10051_B14983-15061_MH0_215189_215632_0:0:0_0:0:0_254a	150	40.0	NC_039553.1	7683	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.971429	0.971429	1	1.0	1
NC_039553.1_4606_5170_7:0:0_8:0:0_1e02	150	13.0	NC_039553.1	4606	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_11155_11716_0:0:0_0:0:0_b93	150	40.0	NC_039553.1	10316	+	60	80M70S	1	1	2	0	475	475	475.0	1	0	60	60.0	0	0.0	0	70	70	75	0.957143	0.957143	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_184878_185324_0:0:0_0:0:0_1f68	150	40.0	NC_039553.1	13542	-	60	68S82M	1	1	2	0	7536	7536	7536.0	1	0	60	60.0	0	0.0	68	0	68	75	1.0	1.0	0	0.0	1
NC_039553.1_7975_8487_8:0:0_5:0:0_26f7	150	13.0	NC_039553.1	8338	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	1	0.0	0
NC_039553.1_14119_14632_5:0:0_8:0:0_2581	150	13.0	NC_039553.1	14119	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.986801	0.985714	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_189658_190139_0:0:0_0:0:0_529	150	40.0	NC_039553.1	7534	-	60	102M48S	1	1	2	0	1093	1093	1093.0	1	0	9	9.0	0	0.0	0	48	48	75	1.0	1.0	1	1.0	1
NC_039553.1_5026_5629_5:0:0_5:0:0_1af3	150	13.0	NC_039553.1	5026	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.985914	0.985714	0	0.0	0
NC_039553.1_2570_2957_7:0:0_10:0:0_1475	150	13.0	NC_039553.1	2570	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.971828	0.971429	1	1.0	0
chimera_1_A9831-10051_B14983-15061_MH0_51429_51954_0:0:0_0:0:0_117d	150	40.0	NC_039553.1	2834	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.985708	0.985506	2	0.0	1
NC_039553.1_6621_7205_4:0:0_5:0:0_1f88	150	13.0	NC_039553.1	6621	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.986467	0.985714	0	0.0	0
NC_039553.1_9872_10343_7:0:0_12:0:0_776	150	13.0	NC_039553.1	9872	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.879904	0.89811	1	0.0	0
NC_039553.1_6432_6870_10:0:0_5:0:0_77c	150	13.0	NC_039553.1	6432	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.971828	0.971429	2	0.5	0
NC_039553.1_3697_4186_6:0:0_4:0:0_1166	150	13.0	NC_039553.1	4037	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.972211	0.971429	2	0.5	0
NC_039553.1_14931_15471_13:0:0_7:0:0_1ba9	150	13.0	NC_039553.1	15322	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.971828	0.971429	0	0.0	0
NC_039553.1_13403_13840_3:0:0_10:0:0_2484	150	13.0	NC_039553.1	13691	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	0
NC_039553.1_6237_6802_7:0:0_5:0:0_1864	150	13.0	NC_039553.1	6237	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.985714	0.985714	0	0.0	0
NC_039553.1_1864_2315_6:0:0_9:0:0_dd8	150	13.0	NC_039553.1	2166	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	1	0.0	0
NC_039553.1_1816_2213_4:0:0_4:0:0_cfc	150	13.0	NC_039553.1	1816	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_308451_308957_0:0:0_0:0:0_12d3	150	40.0	NC_039553.1	625	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.971828	0.971429	0	0.0	1
NC_039553.1_14214_14789_8:0:0_7:0:0_1ca5	150	13.0	NC_039553.1	14214	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.942857	0.942857	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_107026_107524_0:0:0_0:0:0_c97	150	40.0	NC_039553.1	13690	+	60	73S77M	1	1	2	0	6729	6729	6729.0	1	0	60	60.0	0	0.0	73	0	73	75	0.986482	0.985714	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_117788_118318_0:0:0_0:0:0_248a	150	40.0	NC_039553.1	8437	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	3	0.667	1
NC_039553.1_3045_3515_10:0:0_3:0:0_1032	150	13.0	NC_039553.1	3366	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.97258	0.971429	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_180538_181059_0:0:0_0:0:0_881	150	40.0	NC_039553.1	11569	+	60	135M15S	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	15	15	75	0.957143	0.957143	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_215613_216084_0:0:0_0:0:0_1f2a	150	40.0	NC_039553.1	5256	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.986111	0.985714	1	1.0	1
chimera_1_A9831-10051_B14983-15061_MH0_68987_69510_0:0:0_0:0:0_f59	150	40.0	NC_039553.1	3038	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.92957	0.928571	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_306116_306683_0:0:0_0:0:0_186f	150	40.0	NC_039553.1	4136	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.957742	0.957143	0	0.0	1
NC_039553.1_15776_16249_8:0:0_7:0:0_fa0	150	13.0	NC_039553.1	16100	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.972933	0.971429	1	1.0	0
NC_039553.1_11103_11536_4:0:0_5:0:0_2588	150	13.0	NC_039553.1	11103	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.985914	0.985714	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_15544_16042_0:0:0_0:0:0_874	150	40.0	NC_039553.1	8525	+	60	47S103M	1	1	2	0	5630	5630	5630.0	1	0	28	28.0	0	0.0	47	0	47	75	0.9726	0.971429	1	0.0	1
NC_039553.1_11158_11665_7:0:0_4:0:0_d63	150	13.0	NC_039553.1	11516	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	1	1.0	0
NC_039553.1_15769_16325_6:0:0_7:0:0_1901	150	13.0	NC_039553.1	16176	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.915485	0.914286	0	0.0	0
NC_039553.1_8735_9183_6:0:0_9:0:0_10bc	150	13.0	NC_039553.1	8735	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_181131_181621_0:0:0_0:0:0_1aaa	150	40.0	NC_039553.1	15453	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.957143	0.957143	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_182896_183369_0:0:0_0:0:0_1e26	150	40.0	NC_039553.1	1652	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.986482	0.985714	3	0.0	1
NC_039553.1_886_1392_6:0:0_6:0:0_56e	150	13.0	NC_039553.1	886	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	3	0.333	0
chimera_1_A9831-10051_B14983-15061_MH0_327032_327547_0:0:0_0:0:0_1748	150	40.0	NC_039553.1	5135	+	60	134M16S	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	16	16	75	1.0	1.0	0	0.0	1
NC_039553.1_4283_4758_2:0:0_7:0:0_1369	150	13.0	NC_039553.1	4609	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.98629	0.985714	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_211448_211941_0:0:0_0:0:0_10bc	150	40.0	NC_039553.1	14363	-	60	80M70S	1	1	2	0	4312	4312	4312.0	1	0	60	60.0	0	0.0	0	70	70	75	1.0	1.0	1	0.0	1
NC_039553.1_1396_1823_3:0:0_7:0:0_181d	150	13.0	NC_039553.1	1674	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.986111	0.985714	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_157312_157748_0:0:0_0:0:0_737	150	40.0	NC_039553.1	6127	-	60	32S118M	1	1	2	0	5982	5982	5982.0	1	0	1	1.0	0	0.0	32	0	32	75	0.933185	0.937465	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_121615_122093_0:0:0_0:0:0_21a6	150	40.0	NC_039553.1	8717	-	60	32S118M	1	1	2	0	2736	2736	2736.0	1	0	7	7.0	0	0.0	32	0	32	75	1.0	1.0	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_85202_85684_0:0:0_0:0:0_1d30	150	40.0	NC_039553.1	12874	-	60	88S62M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	88	0	88	75	0.9863	0.985714	0	0.0	1
NC_039553.1_273_800_6:0:0_4:0:0_1f3e	150	13.0	NC_039553.1	273	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.971828	0.971429	1	0.0	0
NC_039553.1_15525_16042_5:0:0_8:0:0_1139	150	13.0	NC_039553.1	15525	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.986467	0.985714	0	0.0	0
NC_039553.1_3645_4193_3:0:0_9:0:0_1086	150	13.0	NC_039553.1	3645	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.942857	0.942857	0	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_244161_244736_0:0:0_0:0:0_50e	150	40.0	NC_039553.1	3382	+	60	68S82M	1	1	2	0	4046	4046	4046.0	1	0	60	60.0	0	0.0	68	0	68	75	0.957742	0.957143	1	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_223256_223693_0:0:0_0:0:0_1da0	150	40.0	NC_039553.1	7394	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.985714	0.985714	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_179820_180271_0:0:0_0:0:0_1763	150	40.0	NC_039553.1	10673	+	60	16S134M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	16	0	16	75	0.92957	0.928571	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_232702_233229_0:0:0_0:0:0_10d6	150	40.0	NC_039553.1	11347	-	60	139M11S	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	11	11	75	0.971429	0.971429	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_85890_86377_0:0:0_0:0:0_1fec	150	40.0	NC_039553.1	9113	+	60	71S79M	1	1	2	0	610	610	610.0	1	0	60	60.0	0	0.0	71	0	71	75	0.985714	0.985714	0	0.0	1
NC_039553.1_15137_15705_8:0:0_13:0:0_1ad0	150	13.0	NC_039553.1	15137	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	0
NC_039553.1_9040_9507_6:0:0_10:0:0_1d07	150	13.0	NC_039553.1	9040	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	0
NC_039553.1_9060_9558_3:0:0_3:0:0_1f6	150	13.0	NC_039553.1	9060	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.958333	0.957143	0	0.0	0
NC_039553.1_438_870_10:0:0_12:0:0_b1b	150	13.0	NC_039553.1	721	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	1	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_160269_160776_0:0:0_0:0:0_12cf	150	40.0	NC_039553.1	10837	+	60	94M56S	1	1	2	0	2247	2247	2247.0	1	0	59	59.0	0	0.0	0	56	56	75	1.0	1.0	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_256272_256714_0:0:0_0:0:0_2570	150	40.0	NC_039553.1	13459	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.985288	0.985291	0	0.0	1
NC_039553.1_11899_12366_4:0:0_8:0:0_152d	150	13.0	NC_039553.1	12217	-	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	0.986656	0.985714	1	0.0	0
chimera_1_A9831-10051_B14983-15061_MH0_77071_77551_0:0:0_0:0:0_1026	150	40.0	NC_039553.1	5379	-	60	108M42S	1	1	2	0	5272	5272	5272.0	1	0	13	13.0	0	0.0	0	42	42	75	0.957143	0.957143	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_121615_122093_0:0:0_0:0:0_21a6	150	40.0	NC_039553.1	3324	+	60	150M	0	0	1	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	75	1.0	1.0	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_315934_316341_0:0:0_0:0:0_b00	150	40.0	NC_039553.1	3918	+	60	32S118M	1	1	2	0	1015	1015	1015.0	1	0	10	10.0	0	0.0	32	0	32	75	1.0	1.0	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_54495_54973_0:0:0_0:0:0_c98	150	40.0	NC_039553.1	7438	+	60	64S86M	1	1	2	0	3851	3851	3851.0	1	0	49	49.0	0	0.0	64	0	64	75	0.957742	0.957143	1	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_241433_241906_0:0:0_0:0:0_75b	150	40.0	NC_039553.1	7648	+	60	85M65S	1	1	2	0	7680	7680	7680.0	1	0	60	60.0	0	0.0	0	65	65	75	1.0	1.0	1	1.0	1
chimera_1_A9831-10051_B14983-15061_MH0_85924_86432_0:0:0_0:0:0_20fe	150	40.0	NC_039553.1	9113	+	60	37S113M	1	1	2	0	644	644	644.0	1	0	30	30.0	0	0.0	37	0	37	75	0.928571	0.928571	0	0.0	1
chimera_1_A9831-10051_B14983-15061_MH0_16850_17323_0:0:0_0:0:0_105e	150	40.0	NC_039553.1	14614	+	60	67S83M	1	1	2	0	1225	1225	1225.0	1	0	57	57.0	0	0.0	67	0	67	75	1.0	1.0	0	0.0	1
